name,resist,resist_adj,mana,end_cost,cast_time_ms,cooldown_ms,duration_ticks,description
Cinder,fire,0,9,0,1000,8000,0,"Sears your target for 22 damage"
Scorch,fire,0,18,0,1500,12000,0,"Engulfs your target in flame for 38 damage"
Immolate,fire,0,21,0,250,15000,6,"Sets your target ablaze, dealing 12 damage per tick"
Ignite Blood,fire,-50,26,0,2000,20000,8,"Boils your target's blood for 9 damage per tick and lowers their fire resistance by 20"
Jolt,magic,0,14,0,250,10000,0,"Jolts your target for 28 damage and staggers them"
Arc Lightning,magic,0,30,0,2000,25000,0,"Calls down lightning on your target for 60 damage"
Rime,cold,0,16,0,1500,12000,6,"Coats your target in frost for 33 damage and lowers their ac by 18"
Glacial Spike,cold,0,28,0,2500,20000,0,"Impales your target on a spike of ice for 55 damage"
Venom,poison,0,14,0,1750,0,12,"Floods your target with venom, dealing 6 damage per tick"
Plague,disease,0,32,0,250,30000,8,"Wracks your target with plague, dealing 14 damage per tick"
Withering Curse,corruption,0,24,0,250,25000,10,"Withers your target, lowering their strength by 20 and dealing 9 damage per tick"
Siphon Life,corruption,0,27,0,250,18000,0,"Tears 30 points of life from your target and grants it to you"
Mend,beneficial,0,22,0,2000,0,0,"Heals your target for 40 points"
Salve,beneficial,0,40,0,3000,0,0,"Heals your target for 75 points"
Renewal,beneficial,0,34,0,250,20000,8,"Heals your target for 12 per tick"
Group Mend,group,0,45,0,2500,15000,0,"Heals your entire group for 25 points"
Second Wind,beneficial,0,0,15,250,30000,0,"Heals your target for 30 points and restores 20 endurance"
Barkskin,beneficial,0,12,0,1000,10000,12,"Protects your target against 35 points of damage"
Stoneskin,beneficial,0,30,0,2500,20000,12,"Protects your target against 80 points of damage"
Arcane Ward,beneficial,0,26,0,2000,15000,12,"Protects your target from 60 points of spell damage"
Shielding,beneficial,0,20,0,2000,0,0,"Increases your target's ac by 18"
Resist Elements,beneficial,0,25,0,2500,0,0,"Increases your target's resistance to all elements by 15"
Thorns,beneficial,0,18,0,1500,0,0,"Surrounds your target in thorns, dealing 12 damage to anything that strikes them"
Ensnare,magic,0,10,0,1250,10000,10,"Slows your target's movement by 50%"
Terror,magic,0,22,0,1750,25000,5,"Terrifies your target into fleeing"
Blinding Flash,magic,0,16,0,250,18000,4,"Blinds your target"
Concussion,magic,0,19,0,250,15000,0,"Concusses your target, stunning them"
Cancel Magic,magic,0,15,0,1500,10000,0,"Strips a magical effect from your target"
Invisibility,self,0,14,0,3000,15000,0,"Conceals you from sight"
Levitate,beneficial,0,12,0,2500,0,0,"Lifts your target off the ground"
Reptile Hide,beneficial,0,28,0,2000,15000,10,"Toughens your target's skin; when they are struck it knits the wound closed for 45 points"
Bloodward,beneficial,0,22,0,1500,12000,10,"Wards your target so every blow against them returns 12 points of health"
Last Rites,beneficial,0,45,0,3000,60000,10,"Blesses your target so the next killing blow leaves them standing at the brink"
Adrenaline Surge,self,0,26,0,250,20000,10,"A blow of 150 or more floods you with adrenaline, closing 90 points of wounds"
Arcane Bulwark,beneficial,0,32,0,2500,20000,12,"Blunts incoming spell damage by 50%, absorbing up to 1500 points"
Spirit of the Lynx,beneficial,0,30,0,2500,15000,12,"Lends your target the lynx's hunger; their blows tear 30 points of life away"
Mending Grace,beneficial,0,24,0,2000,15000,10,"Opens your target to healing, increasing every heal they receive by 15%"
Blade Ward,beneficial,0,20,0,1500,15000,10,"Turns aside the next 2 attacks against your target entirely"
Stoneshield,beneficial,0,26,0,2000,15000,12,"Mitigates 15% of incoming melee damage until 500 points have been turned"
Spellshield,beneficial,0,29,0,2000,15000,12,"Mitigates 25% of incoming spell damage until 500 points have been turned"
Sleetfall,cold,0,35,0,2500,30000,0,"Calls repeated waves of freezing sleet over an area, each wave dealing 18 damage"
Emberfall,fire,0,38,0,2500,30000,0,"Calls repeated waves of molten steel over an area, each wave dealing 20 damage"
Veil of Forgetting,magic,0,28,0,1500,45000,0,"Clouds the memory of everything nearby, wiping their hatred of you"
Malaise,magic,0,18,0,1750,15000,12,"Saps your target's resistance to cold, poison and magic by 12"
Scent of Ruin,magic,0,26,0,2000,20000,12,"Marks your target, lowering every elemental resistance by 10"
Falcon Eye,beneficial,0,22,0,2500,0,0,"Sharpens your target's aim, greatly improving ranged accuracy and revealing the unseen"
Moonfire,magic,0,30,0,2000,18000,0,"Strikes your target for 45 damage and knits 25 points of your own wounds closed"
Mind Shatter,magic,0,24,0,250,20000,5,"Shatters your target's focus, draining 15 mana and dealing 11 damage per tick"
War March,group,0,32,0,250,20000,4,"A driving march: your group gains haste, strength, attack and a thorned aura"
Chorus of Replenishment,group,0,30,0,250,20000,6,"A restoring chorus, returning 8 health and 6 mana to your group each tick"
Torrent of Misery,magic,0,34,0,1500,25000,0,"Floods everything near your target with misery, seizing their attention"
Bond of Xalgoz,corruption,0,29,0,250,25000,8,"Binds your target in decay, draining 13 life per tick and feeding it to you"
